dialog_id,text,is_bot
00ee7384-03dc-4b4f-9830-0d110ad7e8ef,hi,0
00ee7384-03dc-4b4f-9830-0d110ad7e8ef,aboba,0
00ee7384-03dc-4b4f-9830-0d110ad7e8ef,привет! как тебя зовут?,0
00ee7384-03dc-4b4f-9830-0d110ad7e8ef,aboba,0
00ee7384-03dc-4b4f-9830-0d110ad7e8ef,негодяй,0
00ee7384-03dc-4b4f-9830-0d110ad7e8ef,aboba,0
00ee7384-03dc-4b4f-9830-0d110ad7e8ef,нет,0
00ee7384-03dc-4b4f-9830-0d110ad7e8ef,aboba,0
03cb0027-c08a-4c32-9e93-a592e4a644b4,опа человек,0
03cb0027-c08a-4c32-9e93-a592e4a644b4,опа человек,0
03cb0027-c08a-4c32-9e93-a592e4a644b4,опа человек,0
03cb0027-c08a-4c32-9e93-a592e4a644b4,опа человек,0
03cb0027-c08a-4c32-9e93-a592e4a644b4,опа человек,0
03cb0027-c08a-4c32-9e93-a592e4a644b4,мама знает про intfloat/multilingual-e5-large,0
03cb0027-c08a-4c32-9e93-a592e4a644b4,ты чурка?,0
0d6cad6c-e31c-4ff1-ace5-9acb6fa43215,привет,0
0d6cad6c-e31c-4ff1-ace5-9acb6fa43215,"ну, как дела?",0
0d6cad6c-e31c-4ff1-ace5-9acb6fa43215,норм,0
0d6cad6c-e31c-4ff1-ace5-9acb6fa43215,"короче, чем занимаешься?",0
0d6cad6c-e31c-4ff1-ace5-9acb6fa43215,ты бот да,0
0d6cad6c-e31c-4ff1-ace5-9acb6fa43215,"да нет, я не бот, просто общаюсь. ты как?",0
0d6cad6c-e31c-4ff1-ace5-9acb6fa43215,докажешь? что не бот,0
0d6cad6c-e31c-4ff1-ace5-9acb6fa43215,"ну, а как я могу доказать? просто общаемся, вот и всё.",0
050985c6-99ba-4bf6-8cca-3d1eed9d4409,Hey hey hey,1
050985c6-99ba-4bf6-8cca-3d1eed9d4409,"привет, привет, привет. как ты?",1
050985c6-99ba-4bf6-8cca-3d1eed9d4409,"Похоже, у вас возникли проблемы с сетевым соединением. Попробуйте перезагрузить роутер или проверить кабели и настройки.",1
050985c6-99ba-4bf6-8cca-3d1eed9d4409,"Ты чего вдруг про сеть заговорил? У меня вроде всё норм. А у тебя что, проблемы с интернетом?",1
050985c6-99ba-4bf6-8cca-3d1eed9d4409,"Похоже, у вас возникли проблемы с сетевым соединением. Попробуйте перезагрузить роутер или проверить кабели и настройки.",1
